<omega>	pairs	n_of_seqs	file
0	21	7	my_64959_TR23936-c1_g1_i1_aln.fna
0	36	9	my_31742_TR17073-c0_g3_i1_aln.fna
0.12	21	7	my_12720_TR19199-c0_g2_i1_aln.fna
0.38	6	4	my_61876_TR32420-c0_g1_i1_aln.fna
0	21	7	my_28947_TR32266-c0_g1_i2_aln.fna
0	10	5	my_65885_TR197-c1_g1_i1_aln.fna
0	36	9	my_31277_TR5691-c0_g3_i1_aln.fna
0	120	16	my_23677_TR29512-c0_g1_i1_aln.fna
0	6	4	my_241956_TR33897-c0_g1_i1_aln.fna
0.06	10	5	my_31868_TR34518-c0_g1_i1_aln.fna
0.56	6	4	my_210871_TR7051-c0_g1_i1_aln.fna
0.39	21	7	my_31094_TR22547-c2_g1_i1_aln.fna
0	10	5	my_27193_TR4903-c0_g1_i1_aln.fna
0	55	11	my_21162_TR20642-c0_g1_i1_aln.fna
0.04	10	5	my_25227_TR33247-c0_g1_i1_aln.fna
0	6	4	my_70769_TR21444-c1_g1_i1_aln.fna
0.16	10	5	my_177372_TCONS_00039670_aln.fna
0.55	36	9	my_33520_TR604-c0_g1_i1_aln.fna
0.47	28	8	my_33601_TR16856-c0_g1_i1_aln.fna
0.02	36	9	my_55374_TR1358-c0_g1_i1_aln.fna
0	120	16	my_15504_TR26658-c0_g1_i1_aln.fna
0.39	15	6	my_65539_TR30074-c0_g1_i2_aln.fna
0.01	21	7	my_61052_TR27525-c0_g1_i1_aln.fna
0.04	28	8	my_33112_TR29558-c1_g1_i1_aln.fna
0.63	6	4	my_53753_TR15880-c0_g1_i1_aln.fna
0	21	7	my_33989_TR12408-c0_g1_i1_aln.fna
0	6	4	my_26045_TR20399-c0_g1_i1_aln.fna
0	15	6	my_24501_TR11548-c0_g1_i5_aln.fna
0	10	5	my_70529_TR7232-c0_g1_i1_aln.fna
0	6	4	my_66318_TR21545-c0_g1_i1_aln.fna
0	6	4	my_219479_TR3413-c0_g1_i1_aln.fna
0.52	45	10	my_24890_TR31085-c0_g1_i1_aln.fna
0.31	10	5	my_26386_TR11771-c0_g1_i1_aln.fna
0.8	6	4	my_60793_TR10779-c0_g1_i1_aln.fna
1.14	15	6	my_211244_TR6294-c0_g1_i1_aln.fna
0	15	6	my_93800_TR14233-c0_g1_i1_aln.fna
0	21	7	my_56291_TR28571-c0_g1_i1_aln.fna
0.28	10	5	my_31050_TR17522-c0_g1_i11_aln.fna
0.17	21	7	my_69534_TR34371-c0_g1_i1_aln.fna
0	36	9	my_35310_TR22806-c1_g1_i1_aln.fna
0.57	21	7	my_102336_TR5198-c0_g1_i1_aln.fna
0	28	8	my_104847_TR13017-c0_g1_i1_aln.fna
0	6	4	my_105502_TR29789-c0_g1_i1_aln.fna
0.85	21	7	my_29549_TR13334-c6_g1_i1_aln.fna
0	10	5	my_140877_TR9451-c0_g1_i1_aln.fna
0.33	6	4	my_91145_TR31366-c0_g1_i2_aln.fna
0	78	13	my_25731_TR33622-c0_g1_i1_aln.fna
0	10	5	my_71169_TR16084-c0_g1_i1_aln.fna
0	120	16	my_25673_TR22381-c0_g1_i1_aln.fna
0.13	6	4	my_27953_TR21889-c0_g1_i1_aln.fna
0	10	5	my_66567_TR15308-c2_g1_i1_aln.fna
0.56	10	5	my_133689_TR14763-c0_g1_i1_aln.fna
0	6	4	my_296477_TR7500-c0_g1_i1_aln.fna
0.26	6	4	my_163688_TCONS_00040941_aln.fna
0.33	10	5	my_24980_TR18667-c0_g2_i1_aln.fna
0.61	78	13	my_32165_TR32910-c0_g1_i1_aln.fna
0	6	4	my_69817_TR21403-c1_g1_i1_aln.fna
0.14	45	10	my_9351_TR20920-c0_g1_i1_aln.fna
0	6	4	my_69642_TR22347-c8_g1_i2_aln.fna
0.05	28	8	my_24191_TR13806-c0_g1_i1_aln.fna
0.19	6	4	my_19700_TR16349-c1_g1_i1_aln.fna
0.13	55	11	my_30591_TR32060-c0_g1_i1_aln.fna
0.04	10	5	my_34574_TR10537-c0_g1_i1_aln.fna
0	6	4	my_149489_TCONS_00031066_aln.fna
0	6	4	my_211893_TR22956-c0_g1_i1_aln.fna
0	10	5	my_30893_TR31686-c0_g1_i1_aln.fna
0.09	10	5	my_33194_TR8013-c0_g1_i1_aln.fna
0.38	15	6	my_138656_TR34645-c0_g1_i1_aln.fna
0.27	28	8	my_55234_TR24817-c1_g1_i1_aln.fna
0	6	4	my_102013_TR5016-c0_g3_i1_aln.fna
0.16	6	4	my_31712_TR14007-c0_g1_i1_aln.fna
0	120	16	my_27218_TR7768-c0_g1_i1_aln.fna
0	120	16	my_15451_TR34373-c0_g1_i1_aln.fna
0.27	28	8	my_51552_TR21070-c0_g1_i1_aln.fna
0	15	6	my_135989_TR12557-c0_g1_i1_aln.fna
0	10	5	my_28062_TR3631-c0_g2_i2_aln.fna
0	36	9	my_62283_TR31152-c0_g1_i1_aln.fna
0	36	9	my_26605_TR12476-c0_g1_i1_aln.fna
0	15	6	my_52517_TR18219-c0_g1_i1_aln.fna
0.1	120	16	my_5889_TR33557-c0_g1_i1_aln.fna
0	55	11	my_21501_TR29439-c0_g1_i1_aln.fna
0	10	5	my_139233_TR36139-c0_g1_i1_aln.fna
0	6	4	my_213069_TR10250-c0_g2_i1_aln.fna
0	10	5	my_59040_TR31965-c0_g1_i1_aln.fna
0	21	7	my_31238_TR1044-c0_g1_i1_aln.fna
0	6	4	my_101316_TR30647-c0_g1_i2_aln.fna
0	45	10	my_105648_TR17482-c0_g1_i1_aln.fna
0.48	28	8	my_26129_TR36425-c0_g2_i1_aln.fna
0	6	4	my_28857_TR17343-c2_g4_i13_aln.fna
0	6	4	my_25784_TR5360-c0_g1_i1_aln.fna
0.05	120	16	my_17615_TR26040-c0_g1_i1_aln.fna
0.11	28	8	my_24907_TR35360-c0_g1_i1_aln.fna
0.38	21	7	my_35882_TR10828-c0_g1_i1_aln.fna
0.74	21	7	my_32510_TR32674-c0_g1_i1_aln.fna
0.05	120	16	my_16158_TR22497-c0_g1_i1_aln.fna
0	36	9	my_27767_TR33323-c0_g1_i1_aln.fna
0	10	5	my_289716_TR35275-c0_g1_i1_aln.fna
0	6	4	my_181389_TCONS_00030880_aln.fna
0	10	5	my_135705_TR12813-c0_g1_i1_aln.fna
0.55	91	14	my_23475_TR9776-c0_g1_i1_aln.fna
0.26	36	9	my_60931_TR967-c0_g2_i1_aln.fna
0	28	8	my_30594_TR32246-c0_g1_i1_aln.fna
0	15	6	my_63231_TR10842-c1_g1_i1_aln.fna
0.03	120	16	my_14294_TR12781-c0_g2_i1_aln.fna
0.36	10	5	my_61361_TR17900-c0_g1_i1_aln.fna
0.12	6	4	my_106245_TR16499-c0_g1_i1_aln.fna
0.62	10	5	my_65853_TR31218-c0_g1_i1_aln.fna
0	105	15	my_16171_TR28451-c0_g2_i1_aln.fna
0	6	4	my_133423_TR8612-c0_g1_i1_aln.fna
0	45	10	my_55725_TR32271-c0_g1_i1_aln.fna
0.47	6	4	my_59747_TR10351-c0_g1_i1_aln.fna
0	6	4	my_103336_TR8866-c0_g1_i1_aln.fna
1.73	28	8	my_32708_TR27156-c0_g1_i1_aln.fna
0	10	5	my_137298_TR29749-c0_g1_i1_aln.fna
0.2	66	12	my_23460_TR6446-c0_g1_i1_aln.fna
0.07	105	15	my_20794_TR30135-c0_g1_i1_aln.fna
0	6	4	my_30354_TR3401-c0_g1_i1_aln.fna
0.3	15	6	my_26630_TR17685-c0_g1_i1_aln.fna
0.31	6	4	my_299080_TR22907-c0_g1_i1_aln.fna
0.21	6	4	my_252979_TR3515-c1_g1_i1_aln.fna
0	6	4	my_26333_TR1720-c1_g1_i1_aln.fna
0.41	15	6	my_27697_TR19925-c1_g1_i1_aln.fna
0.17	36	9	my_99565_TR10746-c0_g1_i1_aln.fna
0.54	6	4	my_69019_TR9258-c0_g1_i1_aln.fna
0	36	9	my_28482_TR30449-c0_g1_i1_aln.fna
0	120	16	my_19670_TR1774-c0_g1_i1_aln.fna
0.63	45	10	my_24363_TR11699-c2_g2_i6_aln.fna
0	36	9	my_27806_TR2822-c0_g3_i1_aln.fna
0.32	21	7	my_59715_TR2617-c0_g1_i1_aln.fna
0	6	4	my_350446_MLOC_4904_aln.fna
0	36	9	my_25149_TR17442-c0_g1_i1_aln.fna
0.13	120	16	my_21245_TR7113-c0_g2_i2_aln.fna
0	6	4	my_258282_TR26098-c0_g1_i1_aln.fna
0	36	9	my_30358_TR3966-c0_g1_i1_aln.fna
0.6	21	7	my_25997_TR12667-c0_g1_i1_aln.fna
0	10	5	my_92650_TR32250-c0_g1_i1_aln.fna
0	6	4	my_211178_TR30597-c0_g1_i1_aln.fna
1.06	55	11	my_30755_TR14908-c0_g1_i1_aln.fna
0.22	6	4	my_25134_TR15392-c1_g1_i1_aln.fna
0	120	16	my_14505_TR24394-c0_g1_i1_aln.fna
0	15	6	my_31239_TR1055-c0_g1_i1_aln.fna
0.12	55	11	my_22981_TR26842-c0_g2_i1_aln.fna
0.86	6	4	my_137228_TR23897-c1_g1_i1_aln.fna
0	15	6	my_90530_TR29355-c0_g1_i1_aln.fna
1.6	6	4	my_33414_TR13304-c2_g2_i6_aln.fna
0	15	6	my_139789_TR27953-c0_g1_i1_aln.fna
0	45	10	my_31657_TR8596-c0_g1_i1_aln.fna
0.01	10	5	my_93711_TR28455-c2_g1_i2_aln.fna
0.55	6	4	my_132221_TR18004-c0_g1_i1_aln.fna
1.53	10	5	my_69799_TR15855-c0_g1_i1_aln.fna
0.43	28	8	my_32031_TR19108-c0_g1_i1_aln.fna
0	66	12	my_24269_TR30295-c1_g2_i1_aln.fna
0	6	4	my_188172_TCONS_00031064_aln.fna
0.32	10	5	my_157777_TCONS_00020928_aln.fna
0.12	10	5	my_61231_TR27809-c0_g1_i1_aln.fna
0	10	5	my_95868_TR1859-c1_g1_i2_aln.fna
0	10	5	my_27001_TR10431-c1_g1_i1_aln.fna
0.8	21	7	my_88174_TR6631-c0_g1_i1_aln.fna
0	10	5	my_69164_TR851-c0_g1_i1_aln.fna
0	6	4	my_187493_TCONS_00005375_aln.fna
0	15	6	my_57444_TR31523-c0_g1_i1_aln.fna
0.53	15	6	my_30990_TR8919-c0_g1_i1_aln.fna
0.12	28	8	my_31215_TR35496-c0_g1_i1_aln.fna
0	6	4	my_69351_TR2087-c1_g1_i1_aln.fna
0	10	5	my_219493_TR6692-c0_g2_i1_aln.fna
0.21	15	6	my_19355_TR977-c0_g1_i2_aln.fna
0	21	7	my_30179_TR20889-c0_g1_i1_aln.fna
0.14	21	7	my_25196_TR26753-c0_g1_i1_aln.fna
0.94	10	5	my_62792_TR11424-c0_g1_i1_aln.fna
0.45	6	4	my_31270_TR4787-c0_g1_i1_aln.fna
0	66	12	my_26236_TR22142-c0_g1_i1_aln.fna
0.42	66	12	my_32441_TR25202-c0_g1_i1_aln.fna
0.45	6	4	my_34642_TR23054-c0_g1_i1_aln.fna
0.14	6	4	my_137128_TR12843-c0_g1_i1_aln.fna
0	36	9	my_65460_TR18525-c0_g1_i1_aln.fna
0.72	28	8	my_28911_TR27525-c0_g1_i2_aln.fna
0	15	6	my_65874_TR34653-c0_g1_i1_aln.fna
0.55	66	12	my_13348_TR33065-c0_g1_i1_aln.fna
0.01	6	4	my_101311_TR29953-c0_g1_i1_aln.fna
0	15	6	my_69564_TR4690-c1_g1_i1_aln.fna
0.91	6	4	my_32587_TR6499-c1_g1_i1_aln.fna
1.02	28	8	my_98268_TR22553-c0_g1_i1_aln.fna
0.25	28	8	my_62399_TR14488-c1_g1_i1_aln.fna
0	10	5	my_29077_TR13150-c1_g1_i1_aln.fna
0	6	4	my_140645_TR4226-c0_g1_i1_aln.fna
0.33	6	4	my_55788_TR16364-c0_g1_i1_aln.fna
0	120	16	my_12185_TR14411-c0_g1_i1_aln.fna
0.71	6	4	my_137491_TR15230-c0_g1_i1_aln.fna
0	10	5	my_59164_TR24059-c0_g1_i1_aln.fna
0	15	6	my_94627_TR9384-c0_g1_i1_aln.fna
0	45	10	my_52009_TR2496-c0_g1_i1_aln.fna
0.01	45	10	my_140585_TR29214-c0_g2_i1_aln.fna
0.28	55	11	my_30665_TR3944-c0_g1_i1_aln.fna
0	28	8	my_23830_TR773-c0_g1_i1_aln.fna
0	6	4	my_35694_TR15105-c0_g1_i1_aln.fna
0	6	4	my_31241_TR1235-c0_g1_i1_aln.fna
0.01	6	4	my_27964_TR22985-c0_g1_i1_aln.fna
0	6	4	my_31942_TR8378-c0_g1_i1_aln.fna
0.22	6	4	my_67708_TR34319-c0_g1_i1_aln.fna
0.17	10	5	my_68629_TR31002-c0_g1_i1_aln.fna
0.01	120	16	my_12535_TR15169-c0_g1_i1_aln.fna
0	36	9	my_31004_TR11699-c2_g4_i1_aln.fna
0	6	4	my_336975_TR872-c0_g1_i1_aln.fna
0	10	5	my_70200_TR19585-c0_g1_i1_aln.fna
0.17	45	10	my_104709_TR22790-c0_g1_i1_aln.fna
0.98	10	5	my_138385_TR17873-c0_g1_i1_aln.fna
0	6	4	my_133513_TR23106-c0_g1_i1_aln.fna
0	6	4	my_105378_TR7413-c0_g1_i1_aln.fna
0	91	14	my_19097_TR31363-c0_g1_i1_aln.fna
0	15	6	my_52960_TR2211-c0_g1_i1_aln.fna
0.99	6	4	my_136149_TR35974-c1_g1_i1_aln.fna
0.09	15	6	my_35561_TR29024-c1_g1_i1_aln.fna
0	15	6	my_28534_TR3763-c0_g1_i1_aln.fna
0	6	4	my_56983_TR25979-c0_g1_i1_aln.fna
0.53	66	12	my_67068_TR33475-c0_g1_i1_aln.fna
0.4	28	8	my_139761_TR22471-c0_g1_i1_aln.fna
0	6	4	my_70758_TR19112-c0_g1_i1_aln.fna
0.07	55	11	my_41800_TR19771-c1_g2_i1_aln.fna
0	15	6	my_23157_TR1225-c0_g1_i1_aln.fna
0	10	5	my_178448_TCONS_00001083_aln.fna
0.73	6	4	my_105362_TR3824-c2_g1_i1_aln.fna
0	78	13	my_53334_TR14921-c0_g2_i1_aln.fna
0	6	4	my_185997_TCONS_00011521_aln.fna
0.19	10	5	my_23781_TR23351-c1_g1_i1_aln.fna
0	10	5	my_103997_TR21240-c0_g1_i1_aln.fna
0.44	6	4	my_95848_TR33884-c0_g1_i1_aln.fna
0.58	6	4	my_91881_TR10271-c0_g1_i1_aln.fna
0.07	10	5	my_23303_TR1090-c0_g1_i1_aln.fna
0.4	78	13	my_22168_TR1062-c0_g1_i1_aln.fna
0	6	4	my_292678_TR17970-c0_g1_i1_aln.fna
0.07	6	4	my_67009_TR26570-c0_g1_i1_aln.fna
0.32	6	4	my_35790_TR28319-c1_g1_i1_aln.fna
0	21	7	my_25540_TR29801-c0_g1_i1_aln.fna
0	6	4	my_90153_TR17699-c0_g1_i1_aln.fna
0	120	16	my_2727_TR22789-c0_g1_i1_aln.fna
0.52	28	8	my_27086_TR23872-c0_g1_i1_aln.fna
0	6	4	my_99588_TR13611-c1_g1_i1_aln.fna
0	45	10	my_21279_TR19911-c0_g1_i1_aln.fna
0	91	14	my_51800_TR34846-c0_g1_i1_aln.fna
0.37	10	5	my_25474_TR16238-c0_g1_i1_aln.fna
0.1	6	4	my_29245_TR2865-c0_g1_i1_aln.fna
0	6	4	my_250558_TR33194-c0_g1_i3_aln.fna
0	6	4	my_33809_TR15677-c0_g1_i1_aln.fna
0.87	21	7	my_26875_TR24943-c0_g1_i1_aln.fna
0.08	10	5	my_250849_TR3057-c1_g1_i1_aln.fna
0	66	12	my_66167_TR2387-c0_g1_i1_aln.fna
0	55	11	my_65717_TR14809-c0_g1_i3_aln.fna
0.38	28	8	my_24201_TR15938-c0_g1_i1_aln.fna
0	45	10	my_19450_TR12574-c0_g1_i1_aln.fna
0.4	15	6	my_33600_TR16718-c0_g1_i1_aln.fna
0	10	5	my_68796_TR29485-c0_g1_i1_aln.fna
0	105	15	my_27272_TR16577-c0_g1_i3_aln.fna
0	6	4	my_138317_TR6926-c0_g1_i1_aln.fna
0	6	4	my_33328_TR32600-c0_g1_i1_aln.fna
0.05	55	11	my_22524_TR5940-c0_g1_i2_aln.fna
0	120	16	my_18130_TR12612-c0_g1_i1_aln.fna
0	6	4	my_139432_TR4269-c0_g1_i1_aln.fna
0	10	5	my_66613_TR20949-c0_g1_i1_aln.fna
0	15	6	my_23819_TR34209-c0_g1_i1_aln.fna
0	6	4	my_133466_TR15471-c0_g1_i1_aln.fna
0.13	6	4	my_42253_TR18740-c0_g1_i1_aln.fna
0	78	13	my_29995_TR34378-c0_g1_i1_aln.fna
0.51	21	7	my_33886_TR31856-c0_g1_i1_aln.fna
0	21	7	my_27890_TR15390-c0_g1_i1_aln.fna
0.13	10	5	my_151974_TCONS_00045673_aln.fna
0	6	4	my_24099_TR27930-c2_g1_i1_aln.fna
0.05	21	7	my_92361_TR17508-c0_g1_i1_aln.fna
0.63	15	6	my_30672_TR4747-c0_g1_i1_aln.fna
0	66	12	my_31533_TR32085-c0_g1_i1_aln.fna
0	6	4	my_34097_TR32889-c0_g1_i1_aln.fna
0	15	6	my_95715_TR5231-c0_g1_i1_aln.fna
0.22	6	4	my_89555_TR6674-c0_g1_i1_aln.fna
0.35	10	5	my_166143_TCONS_00027628_aln.fna
0.42	21	7	my_20074_TR23034-c0_g1_i1_aln.fna
0	6	4	my_34214_TR16408-c0_g1_i1_aln.fna
0.05	21	7	my_70502_TR1083-c0_g1_i1_aln.fna
0.62	10	5	my_104656_TR13312-c0_g1_i1_aln.fna
1.52	55	11	my_22992_TR29201-c0_g1_i1_aln.fna
0	91	14	my_25829_TR13334-c0_g2_i1_aln.fna
0	15	6	my_31478_TR26260-c0_g1_i1_aln.fna
0	6	4	my_33339_TR33847-c0_g1_i1_aln.fna
0	66	12	my_28913_TR28155-c0_g2_i1_aln.fna
1.77	10	5	my_458612_TR33257-c0_g1_i1_aln.fna
0	21	7	my_31982_TR13675-c0_g1_i1_aln.fna
0.01	6	4	my_132997_TR8361-c0_g1_i1_aln.fna
0	6	4	my_31052_TR17913-c1_g1_i1_aln.fna
0	21	7	my_34513_TR36171-c0_g1_i1_aln.fna
0	6	4	my_30404_TR8157-c0_g1_i1_aln.fna
0	6	4	my_31864_TR34151-c0_g1_i1_aln.fna
0	28	8	my_18087_TR32067-c0_g1_i1_aln.fna
0	105	15	my_17608_TR21348-c0_g1_i1_aln.fna
0	28	8	my_33348_TR35331-c1_g2_i1_aln.fna
0	6	4	my_105518_TR32935-c1_g1_i1_aln.fna
0.58	6	4	my_61323_TR10126-c0_g1_i1_aln.fna
0	6	4	my_67051_TR30951-c0_g1_i1_aln.fna
0.37	6	4	my_28370_TR13036-c2_g1_i1_aln.fna
0.48	6	4	my_244275_TR37087-c0_g1_i1_aln.fna
0.39	6	4	my_101990_TR2357-c0_g1_i1_aln.fna
0	6	4	my_137957_TR581-c0_g1_i1_aln.fna
0	6	4	my_62747_TR4074-c0_g1_i1_aln.fna
1.1	10	5	my_19953_TR10548-c1_g1_i1_aln.fna
0	66	12	my_18664_TR12965-c0_g1_i1_aln.fna
0	120	16	my_16948_TR19806-c0_g1_i1_aln.fna
0	6	4	my_70859_TR34327-c0_g1_i1_aln.fna
1.06	21	7	my_68107_TR6560-c2_g1_i1_aln.fna
0	6	4	my_60338_TR29824-c0_g1_i1_aln.fna
0	105	15	my_34526_TR2460-c0_g1_i1_aln.fna
0.09	6	4	my_207642_TR7994-c0_g1_i1_aln.fna
0.14	15	6	my_256289_TR3227-c0_g1_i1_aln.fna
0	21	7	my_133405_TR5552-c0_g1_i1_aln.fna
0.58	91	14	my_13205_TR23167-c0_g1_i1_aln.fna
1.74	21	7	my_138661_TR35227-c0_g1_i1_aln.fna
0.05	78	13	my_18407_TR31117-c0_g1_i1_aln.fna
0.5	10	5	my_35709_TR17343-c3_g1_i2_aln.fna
0	36	9	my_34423_TR18127-c0_g2_i6_aln.fna
0	36	9	my_96683_TR26390-c0_g1_i2_aln.fna
0.05	10	5	my_125547_TR18193-c0_g1_i1_aln.fna
0.29	120	16	my_4345_TR1693-c0_g1_i1_aln.fna
0	91	14	my_21343_TR4270-c0_g1_i1_aln.fna
0.22	105	15	my_16638_TR22938-c0_g1_i1_aln.fna
0	10	5	my_64506_TR25493-c0_g1_i1_aln.fna
0.06	28	8	my_70711_TR7733-c2_g1_i1_aln.fna
0.27	6	4	my_24487_TR8070-c1_g1_i1_aln.fna
0.27	15	6	my_26923_TR34049-c0_g1_i1_aln.fna
0	10	5	my_34066_TR26337-c0_g1_i1_aln.fna
0	6	4	my_65578_TR34615-c0_g1_i1_aln.fna
0	6	4	my_21412_TR30564-c0_g1_i1_aln.fna
0	10	5	my_57487_TR6090-c0_g1_i1_aln.fna
0.19	6	4	my_66884_TR13345-c0_g1_i1_aln.fna
0	6	4	my_244293_TR3844-c0_g1_i1_aln.fna
0.4	15	6	my_70193_TR18798-c0_g1_i1_aln.fna
0.19	10	5	my_56611_TR27312-c0_g1_i1_aln.fna
0.49	6	4	my_98358_TR1985-c0_g1_i1_aln.fna
0	10	5	my_69280_TR23867-c0_g1_i1_aln.fna
0.35	6	4	my_68256_TR31597-c0_g1_i1_aln.fna
0	10	5	my_63803_TR31660-c0_g1_i1_aln.fna
0	15	6	my_69439_TR19666-c0_g1_i1_aln.fna
0	10	5	my_217989_TR32398-c0_g1_i1_aln.fna
0.48	21	7	my_63339_TR31824-c0_g1_i1_aln.fna
0.12	15	6	my_89023_TR3804-c0_g1_i1_aln.fna
0	10	5	my_23674_TR28674-c0_g1_i1_aln.fna
0.13	6	4	my_104410_TR934-c0_g1_i1_aln.fna
0	15	6	my_94784_TR8625-c0_g1_i1_aln.fna
0	28	8	my_33858_TR25882-c0_g1_i1_aln.fna
0.75	6	4	my_30782_TR17932-c0_g1_i1_aln.fna
0.25	6	4	my_99079_TR9713-c1_g12_i4_aln.fna
0	21	7	my_134640_TR14153-c0_g1_i1_aln.fna
0.22	6	4	my_214611_TR19028-c0_g1_i1_aln.fna
0	6	4	my_27977_TR24947-c0_g1_i3_aln.fna
0.19	6	4	my_100894_TR12676-c0_g1_i1_aln.fna
0	45	10	my_23134_TR29435-c0_g1_i1_aln.fna
0.23	15	6	my_62456_TR27486-c0_g1_i1_aln.fna
0.08	91	14	my_46800_TR34045-c2_g1_i1_aln.fna
0	6	4	my_33967_TR8278-c5_g1_i1_aln.fna
0.04	120	16	my_31038_TR15851-c0_g1_i1_aln.fna
0.15	120	16	my_11944_TR22358-c0_g1_i1_aln.fna
0	45	10	my_27835_TR8028-c0_g1_i1_aln.fna
0	6	4	my_186044_TCONS_00039453_aln.fna
0.43	21	7	my_35055_TR16969-c0_g1_i1_aln.fna
0	91	14	my_20279_TR1077-c0_g1_i1_aln.fna
0	15	6	my_58317_TR27357-c0_g1_i1_aln.fna
0	6	4	my_101535_TR21144-c0_g1_i1_aln.fna
0.06	105	15	my_24516_TR16941-c0_g1_i1_aln.fna
0	6	4	my_140393_TR24493-c0_g1_i1_aln.fna
0.33	6	4	my_99741_TR33669-c1_g1_i1_aln.fna
0	15	6	my_96024_TR2088-c0_g1_i1_aln.fna
0.03	28	8	my_26591_TR9998-c0_g1_i1_aln.fna
0.36	6	4	my_26965_TR4409-c0_g1_i1_aln.fna
0.2	6	4	my_96534_TR31327-c0_g2_i1_aln.fna
0.29	10	5	my_24457_TR35078-c0_g1_i1_aln.fna
0.37	6	4	my_31814_TR27211-c5_g1_i1_aln.fna
0.01	55	11	my_20435_TR24335-c0_g1_i1_aln.fna
0.64	6	4	my_27591_TR942-c0_g1_i1_aln.fna
0.43	15	6	my_34778_TR9125-c0_g1_i1_aln.fna
0	6	4	my_61986_TR15099-c0_g1_i1_aln.fna
0	120	16	my_19457_TR16428-c0_g2_i2_aln.fna
0.27	10	5	my_20989_TR25620-c0_g1_i1_aln.fna
0	21	7	my_29179_TR30058-c0_g1_i1_aln.fna
0.14	15	6	my_31627_TR5879-c0_g1_i1_aln.fna
0.29	10	5	my_58598_TR25105-c0_g2_i1_aln.fna
0	15	6	my_28316_TR5372-c0_g1_i1_aln.fna
0.11	10	5	my_32011_TR17136-c0_g1_i1_aln.fna
0	15	6	my_60865_TR24350-c0_g1_i1_aln.fna
0	6	4	my_101571_TR23556-c0_g1_i1_aln.fna
0.29	78	13	my_44226_TR18429-c0_g1_i1_aln.fna
1.29	15	6	my_35800_TR30852-c0_g1_i1_aln.fna
0.09	21	7	my_21456_TR12785-c0_g1_i1_aln.fna
1.15	28	8	my_30165_TR19620-c2_g2_i1_aln.fna
0	10	5	my_21511_TR33608-c0_g1_i1_aln.fna
0	10	5	my_217263_TR23400-c0_g1_i1_aln.fna
0	6	4	my_65338_TR3849-c5_g1_i1_aln.fna
0.09	15	6	my_29268_TR7024-c2_g1_i1_aln.fna
1.69	36	9	my_24366_TR12209-c0_g1_i1_aln.fna
0	105	15	my_20141_TR14500-c0_g2_i3_aln.fna
0.67	6	4	my_211859_TR16751-c0_g1_i1_aln.fna
0.35	10	5	my_32567_TR3101-c0_g1_i1_aln.fna
0.03	28	8	my_29327_TR16245-c0_g1_i1_aln.fna
0	21	7	my_57669_TR25479-c0_g1_i1_aln.fna
0	6	4	my_32199_TR443-c0_g1_i1_aln.fna
0.23	28	8	my_56971_TR21710-c0_g1_i1_aln.fna
0	55	11	my_25875_TR26368-c1_g1_i1_aln.fna
0	6	4	my_96137_TR25904-c0_g2_i2_aln.fna
0.04	120	16	my_15636_TR9705-c0_g1_i1_aln.fna
0	15	6	my_284268_TR35033-c0_g1_i1_aln.fna
0.06	6	4	my_258283_TR26257-c0_g1_i1_aln.fna
0.25	15	6	my_61335_TR12616-c0_g1_i1_aln.fna
0	10	5	my_28644_TR19241-c2_g1_i1_aln.fna
0	6	4	my_28049_TR2185-c0_g1_i1_aln.fna
0.24	6	4	my_208657_TR6702-c0_g1_i1_aln.fna
0	45	10	my_28986_TR1402-c0_g1_i1_aln.fna
0.04	66	12	my_69106_TR26312-c1_g1_i1_aln.fna
0	6	4	my_129664_TR12703-c0_g2_i1_aln.fna
0	10	5	my_250679_TR15091-c0_g1_i1_aln.fna
0.04	10	5	my_27738_TR27583-c0_g1_i1_aln.fna
0	10	5	my_28008_TR30765-c1_g1_i1_aln.fna
0	120	16	my_14036_TR15992-c0_g2_i1_aln.fna
0	6	4	my_25233_TR34763-c0_g1_i1_aln.fna
0.33	10	5	my_104105_TR4715-c0_g1_i1_aln.fna
0	21	7	my_31565_TR35811-c0_g1_i1_aln.fna
0	105	15	my_19826_TR32449-c0_g1_i1_aln.fna
0.13	6	4	my_28718_TR30927-c0_g1_i1_aln.fna
0.12	15	6	my_24792_TR9195-c0_g1_i1_aln.fna
0	105	15	my_13659_TR34859-c0_g1_i1_aln.fna
0	6	4	my_237967_TR18744-c1_g1_i1_aln.fna
0	6	4	my_94182_TR405-c0_g2_i1_aln.fna
0	10	5	my_133800_TR31337-c0_g1_i1_aln.fna
0.59	10	5	my_57050_TR11042-c0_g1_i1_aln.fna
0	15	6	my_133213_TR9164-c0_g1_i1_aln.fna
1.32	6	4	my_254160_TR29744-c0_g1_i1_aln.fna
0.18	45	10	my_22224_TR17096-c0_g1_i1_aln.fna
0.01	21	7	my_33115_TR29981-c0_g1_i1_aln.fna
0	21	7	my_56747_TR30797-c0_g1_i1_aln.fna
0	6	4	my_132789_TR6431-c0_g1_i1_aln.fna
0.02	91	14	my_14188_TR35684-c1_g1_i1_aln.fna
0	36	9	my_16826_TR25179-c0_g1_i1_aln.fna
0	91	14	my_23474_TR9595-c0_g1_i1_aln.fna
0.8	6	4	my_32323_TR13505-c1_g1_i1_aln.fna
0.17	6	4	my_98569_TR699-c0_g2_i1_aln.fna
0.41	21	7	my_23961_TR26166-c0_g1_i1_aln.fna
